Time;km;speed_kmh;FC;dist
2025-03-30T07:57:30Z;0;0;101;0
2025-03-30T07:57:31Z;0;0;101;0
2025-03-30T07:57:32Z;0,003;5,4;102;0,003
2025-03-30T07:57:33Z;0,003;3,6;102;0
2025-03-30T07:58:55Z;0,003;0;93;0
2025-03-30T07:58:56Z;0,003;0;94;0
2025-03-30T07:58:57Z;0,006;0;95;0,003
2025-03-30T07:58:58Z;0,007;0,36;96;0,001
2025-03-30T07:58:59Z;0,009;0,36;97;0,002
2025-03-30T07:59:00Z;0,01;5,4;97;0,001
2025-03-30T07:59:01Z;0,012;6,12;97;0,002
2025-03-30T07:59:02Z;0,013;5,04;98;0,001
2025-03-30T07:59:03Z;0,015;5,04;98;0,002
2025-03-30T07:59:04Z;0,016;5,04;98;0,001
2025-03-30T07:59:05Z;0,018;5,4;98;0,002
2025-03-30T07:59:06Z;0,02;6,12;96;0,002
2025-03-30T07:59:07Z;0,022;6,48;96;0,002
2025-03-30T07:59:08Z;0,024;6,84;96;0,002
2025-03-30T07:59:09Z;0,026;7,2;97;0,002
2025-03-30T07:59:10Z;0,028;7,2;97;0,002
2025-03-30T07:59:11Z;0,031;8,28;98;0,003
2025-03-30T07:59:12Z;0,035;9;98;0,004
2025-03-30T07:59:13Z;0,038;10,08;100;0,003
2025-03-30T07:59:14Z;0,04;10,44;101;0,002
2025-03-30T07:59:15Z;0,043;10,8;101;0,003
2025-03-30T07:59:16Z;0,045;10,08;102;0,002
2025-03-30T07:59:17Z;0,048;9,36;103;0,003
2025-03-30T07:59:18Z;0,05;8,64;104;0,002
2025-03-30T07:59:19Z;0,053;9,36;105;0,003
2025-03-30T07:59:20Z;0,057;9,72;105;0,004
2025-03-30T07:59:21Z;0,06;10,44;105;0,003
2025-03-30T07:59:22Z;0,063;11,16;105;0,003
2025-03-30T07:59:23Z;0,068;12,96;105;0,005
2025-03-30T07:59:24Z;0,073;14,4;108;0,005
2025-03-30T07:59:25Z;0,076;14,04;109;0,003
2025-03-30T07:59:26Z;0,079;13,68;110;0,003
2025-03-30T07:59:27Z;0,082;13,68;111;0,003
2025-03-30T07:59:28Z;0,085;12,24;113;0,003
2025-03-30T07:59:29Z;0,091;12,96;114;0,006
2025-03-30T07:59:30Z;0,097;15,12;115;0,006
2025-03-30T07:59:31Z;0,1;14,76;119;0,003
2025-03-30T07:59:32Z;0,102;14,4;121;0,002
2025-03-30T07:59:33Z;0,104;14,04;126;0,002
2025-03-30T07:59:34Z;0,107;11,52;125;0,003
2025-03-30T07:59:35Z;0,111;9,72;125;0,004
2025-03-30T07:59:36Z;0,114;10,8;128;0,003
2025-03-30T07:59:37Z;0,118;11,52;129;0,004
2025-03-30T07:59:38Z;0,12;11,16;129;0,002
2025-03-30T07:59:39Z;0,122;11,16;129;0,002
2025-03-30T07:59:40Z;0,125;10,08;131;0,003
2025-03-30T07:59:41Z;0,127;9;132;0,002
2025-03-30T07:59:42Z;0,129;7,92;132;0,002
2025-03-30T07:59:43Z;0,132;8,64;133;0,003
2025-03-30T07:59:44Z;0,136;9,36;135;0,004
2025-03-30T07:59:45Z;0,139;10,08;137;0,003
2025-03-30T07:59:46Z;0,142;10,8;139;0,003
2025-03-30T07:59:47Z;0,147;12,96;140;0,005
2025-03-30T07:59:48Z;0,152;14,4;142;0,005
2025-03-30T07:59:49Z;0,155;13,68;143;0,003
2025-03-30T07:59:50Z;0,158;13,68;143;0,003
2025-03-30T07:59:51Z;0,16;12,96;144;0,002
2025-03-30T07:59:52Z;0,163;11,52;146;0,003
2025-03-30T07:59:53Z;0,167;10,8;149;0,004
2025-03-30T07:59:54Z;0,171;11,52;149;0,004
2025-03-30T07:59:55Z;0,175;12,6;150;0,004
2025-03-30T07:59:56Z;0,179;13,68;151;0,004
2025-03-30T07:59:57Z;0,183;14,4;150;0,004
2025-03-30T07:59:58Z;0,187;14,4;151;0,004
2025-03-30T07:59:59Z;0,193;15,84;151;0,006
2025-03-30T08:00:00Z;0,199;17,28;150;0,006
2025-03-30T08:00:01Z;0,202;16,56;150;0,003
2025-03-30T08:00:02Z;0,204;15,48;150;0,002
2025-03-30T08:00:03Z;0,207;14,4;150;0,003
2025-03-30T08:00:04Z;0,21;12,24;150;0,003
2025-03-30T08:00:05Z;0,213;10,08;151;0,003
2025-03-30T08:00:06Z;0,216;10,08;149;0,003
2025-03-30T08:00:07Z;0,219;10,44;150;0,003
2025-03-30T08:00:08Z;0,222;10,8;150;0,003
2025-03-30T08:00:09Z;0,226;11,16;150;0,004
2025-03-30T08:00:10Z;0,229;11,52;150;0,003
2025-03-30T08:00:11Z;0,233;11,88;150;0,004
2025-03-30T08:00:12Z;0,236;12,24;150;0,003
2025-03-30T08:00:13Z;0,239;12,24;149;0,003
2025-03-30T08:00:14Z;0,242;11,88;151;0,003
2025-03-30T08:00:15Z;0,245;11,52;149;0,003
2025-03-30T08:00:16Z;0,248;11,16;151;0,003
2025-03-30T08:00:17Z;0,251;10,8;153;0,003
2025-03-30T08:00:18Z;0,254;10,44;152;0,003
2025-03-30T08:00:19Z;0,256;10,08;150;0,002
2025-03-30T08:00:20Z;0,259;10,08;150;0,003
2025-03-30T08:00:21Z;0,261;9,36;151;0,002
2025-03-30T08:00:22Z;0,263;8,64;151;0,002
2025-03-30T08:00:23Z;0,265;8,28;150;0,002
2025-03-30T08:00:24Z;0,267;7,92;149;0,002
2025-03-30T08:00:25Z;0,269;7,2;149;0,002
2025-03-30T08:00:26Z;0,272;7,92;151;0,003
