Time;km;speed_kmh;FC;dist 
2021-11-28T08:01:13Z;0;0;135;0
2021-11-28T08:01:14Z;0,001;5,04;135;0,001
2021-11-28T08:01:15Z;0,003;5,04;138;0,002
2021-11-28T08:01:16Z;0,004;5,04;138;0,001
2021-11-28T08:01:17Z;0,006;5,04;138;0,002
2021-11-28T08:01:18Z;0,007;5,04;139;0,001
2021-11-28T08:01:19Z;0,009;5,4;139;0,002
2021-11-28T08:01:20Z;0,011;5,76;144;0,002
2021-11-28T08:01:21Z;0,013;6,48;147;0,002
2021-11-28T08:01:22Z;0,015;6,84;149;0,002
2021-11-28T08:01:23Z;0,017;7,2;152;0,002
2021-11-28T08:01:24Z;0,019;7,2;155;0,002
2021-11-28T08:01:25Z;0,022;7,92;156;0,003
2021-11-28T08:01:26Z;0,025;8,28;157;0,003
2021-11-28T08:01:27Z;0,027;8,64;158;0,002
2021-11-28T08:01:28Z;0,03;9,36;161;0,003
2021-11-28T08:01:29Z;0,033;10,08;163;0,003
2021-11-28T08:01:30Z;0,036;10,08;165;0,003
2021-11-28T08:01:31Z;0,04;11,16;168;0,004
2021-11-28T08:01:32Z;0,044;12,24;170;0,004
2021-11-28T08:01:33Z;0,05;14,04;173;0,006
2021-11-28T08:01:34Z;0,055;15,84;175;0,005
2021-11-28T08:01:35Z;0,058;15,84;175;0,003
2021-11-28T08:01:36Z;0,06;14,76;176;0,002
2021-11-28T08:01:37Z;0,063;13,68;177;0,003
2021-11-28T08:01:38Z;0,066;11,88;179;0,003
2021-11-28T08:01:39Z;0,071;11,52;180;0,005
2021-11-28T08:01:40Z;0,076;12,96;180;0,005
2021-11-28T08:01:41Z;0,079;13,68;180;0,003
2021-11-28T08:01:42Z;0,083;13,68;178;0,004
2021-11-28T08:01:43Z;0,086;14,4;177;0,003
2021-11-28T08:01:44Z;0,089;12,96;179;0,003
2021-11-28T08:01:45Z;0,091;11,16;179;0,002
2021-11-28T08:01:46Z;0,094;10,8;178;0,003
2021-11-28T08:01:47Z;0,097;10,08;177;0,003
2021-11-28T08:01:48Z;0,099;9,36;175;0,002
2021-11-28T08:01:49Z;0,103;10,08;173;0,004
2021-11-28T08:01:50Z;0,107;11,16;172;0,004
2021-11-28T08:01:51Z;0,111;12,24;171;0,004
2021-11-28T08:01:52Z;0,114;12,24;172;0,003
2021-11-28T08:01:53Z;0,116;12,24;173;0,002
2021-11-28T08:01:54Z;0,119;11,52;171;0,003
2021-11-28T08:01:55Z;0,121;10,44;169;0,002
2021-11-28T08:01:56Z;0,124;9,36;170;0,003
2021-11-28T08:01:57Z;0,13;11,52;169;0,006
2021-11-28T08:01:58Z;0,135;13,68;169;0,005
2021-11-28T08:01:59Z;0,138;13,32;169;0,003
2021-11-28T08:02:00Z;0,14;13,32;166;0,002
2021-11-28T08:02:01Z;0,142;13,32;164;0,002
2021-11-28T08:02:02Z;0,145;11,16;166;0,003
2021-11-28T08:02:03Z;0,148;9,36;167;0,003
2021-11-28T08:02:04Z;0,151;10,08;168;0,003
2021-11-28T08:02:05Z;0,155;10,8;169;0,004
2021-11-28T08:02:06Z;0,158;11,16;169;0,003
2021-11-28T08:02:07Z;0,162;11,88;169;0,004
2021-11-28T08:02:08Z;0,165;12,24;169;0,003
2021-11-28T08:02:09Z;0,169;12,6;169;0,004
2021-11-28T08:02:10Z;0,174;13,68;168;0,005
2021-11-28T08:02:11Z;0,178;14,76;167;0,004
2021-11-28T08:02:12Z;0,183;15,48;165;0,005
2021-11-28T08:02:13Z;0,187;15,48;167;0,004
2021-11-28T08:02:14Z;0,19;15,48;168;0,003
2021-11-28T08:02:15Z;0,194;14,76;167;0,004
2021-11-28T08:02:16Z;0,201;15,84;165;0,007
2021-11-28T08:02:17Z;0,207;17,28;164;0,006
2021-11-28T08:02:18Z;0,21;16,56;162;0,003
2021-11-28T08:02:19Z;0,212;15,84;161;0,002
2021-11-28T08:02:20Z;0,215;15,12;161;0,003
2021-11-28T08:02:21Z;0,218;12,6;161;0,003
2021-11-28T08:02:22Z;0,22;9,36;163;0,002
2021-11-28T08:02:23Z;0,222;8,64;164;0,002
2021-11-28T08:02:24Z;0,224;8,28;164;0,002
2021-11-28T08:02:25Z;0,226;7,92;163;0,002
2021-11-28T08:02:26Z;0,228;7,2;164;0,002
2021-11-28T08:02:27Z;0,231;7,92;164;0,003
2021-11-28T08:02:28Z;0,234;9;163;0,003
2021-11-28T08:02:29Z;0,238;10,08;162;0,004
2021-11-28T08:02:30Z;0,241;10,8;164;0,003
2021-11-28T08:02:31Z;0,245;11,88;164;0,004
2021-11-28T08:02:32Z;0,248;12,24;164;0,003
2021-11-28T08:02:33Z;0,252;12,6;164;0,004
2021-11-28T08:02:34Z;0,256;12,96;165;0,004
2021-11-28T08:02:35Z;0,26;13,68;165;0,004
2021-11-28T08:02:36Z;0,264;14,04;166;0,004
2021-11-28T08:02:37Z;0,267;13,68;166;0,003
2021-11-28T08:02:38Z;0,271;13,32;166;0,004
2021-11-28T08:02:39Z;0,274;12,96;165;0,003
2021-11-28T08:02:40Z;0,277;11,88;163;0,003
2021-11-28T08:02:41Z;0,279;10,8;162;0,002
2021-11-28T08:02:42Z;0,281;10,08;163;0,002
2021-11-28T08:02:43Z;0,284;9,72;164;0,003
2021-11-28T08:02:44Z;0,289;11,16;165;0,005
2021-11-28T08:02:45Z;0,295;13,32;166;0,006
2021-11-28T08:02:46Z;0,299;14,76;165;0,004
2021-11-28T08:02:47Z;0,304;15,84;164;0,005
2021-11-28T08:02:48Z;0,308;17,28;165;0,004
2021-11-28T08:02:49Z;0,312;16,2;166;0,004
2021-11-28T08:02:50Z;0,316;15,12;166;0,004
2021-11-28T08:02:51Z;0,32;14,76;168;0,004
2021-11-28T08:02:52Z;0,323;14,04;169;0,003
2021-11-28T08:02:53Z;0,327;13,32;168;0,004
2021-11-28T08:02:54Z;0,33;12,96;167;0,003
2021-11-28T08:02:55Z;0,332;11,88;166;0,002
2021-11-28T08:02:56Z;0,335;10,8;166;0,003
2021-11-28T08:02:57Z;0,337;10,08;166;0,002
2021-11-28T08:02:58Z;0,34;9,36;167;0,003
2021-11-28T08:02:59Z;0,342;8,64;168;0,002
2021-11-28T08:03:00Z;0,345;9,36;170;0,003
2021-11-28T08:03:01Z;0,348;9,72;168;0,003
2021-11-28T08:03:02Z;0,352;10,44;170;0,004
2021-11-28T08:03:03Z;0,355;11,16;173;0,003
2021-11-28T08:03:04Z;0,361;13,68;173;0,006
2021-11-28T08:03:05Z;0,367;15,84;174;0,006
2021-11-28T08:03:06Z;0,369;15,12;173;0,002
2021-11-28T08:03:07Z;0,372;14,4;175;0,003
2021-11-28T08:03:08Z;0,374;14,04;175;0,002
2021-11-28T08:03:09Z;0,377;11,52;175;0,003
2021-11-28T08:03:10Z;0,381;9,72;175;0,004
2021-11-28T08:03:11Z;0,384;10,8;176;0,003
2021-11-28T08:03:12Z;0,388;11,52;175;0,004
2021-11-28T08:03:13Z;0,392;12,24;172;0,004
2021-11-28T08:03:14Z;0,395;13,32;175;0,003
2021-11-28T08:03:15Z;0,399;13,32;176;0,004
2021-11-28T08:03:16Z;0,403;13,32;175;0,004
